"Année","Type de contribution à la formation","Canton","Degré de formation","Montant versé en fr.","Nombre de bénéficiaires"
"2004","Bourses","Schaffhausen","Formation professionnelle initiale (duale)",69600,22
"2004","Bourses","Schaffhausen","Maturité professionnelle (après l'apprentissage)",7350,2
"2004","Bourses","Schaffhausen","Formation professionnelle supérieure",124284,23
"2004","Bourses","Schaffhausen","Hautes écoles spécialisées et pédagogiques",464500,81
"2004","Bourses","Schaffhausen","Hautes écoles universitaires",525000,89
"2004","Bourses","Schaffhausen","Formation continue",0,0
"2004","Bourses","Appenzell Ausserrhoden","Degrés de formation - total",1424800,309
"2004","Bourses","Appenzell Ausserrhoden","Scolarité obligatoire",0,0
"2004","Bourses","Appenzell Ausserrhoden","Maturité gymnasiale",168850,49
"2004","Bourses","Appenzell Ausserrhoden","Autres formations générales",142100,39
"2004","Bourses","Appenzell Ausserrhoden","Formation professionnelle initiale (à plein temps)",198400,45
"2004","Bourses","Appenzell Ausserrhoden","Formation professionnelle initiale (duale)",43650,18
"2004","Bourses","Appenzell Ausserrhoden","Maturité professionnelle (après l'apprentissage)",14700,3
"2004","Bourses","Appenzell Ausserrhoden","Formation professionnelle supérieure",104500,17
"2004","Bourses","Appenzell Ausserrhoden","Hautes écoles spécialisées et pédagogiques",249700,51
"2004","Bourses","Appenzell Ausserrhoden","Hautes écoles universitaires",495000,91
"2004","Bourses","Appenzell Ausserrhoden","Formation continue",7900,2
"2004","Bourses","Appenzell Innerrhoden","Degrés de formation - total",631900,104
"2004","Bourses","Appenzell Innerrhoden","Scolarité obligatoire",0,0
"2004","Bourses","Appenzell Innerrhoden","Maturité gymnasiale",48350,8
"2004","Bourses","Appenzell Innerrhoden","Autres formations générales",96450,18
"2004","Bourses","Appenzell Innerrhoden","Formation professionnelle initiale (à plein temps)",101900,13
"2004","Bourses","Appenzell Innerrhoden","Formation professionnelle initiale (duale)",65800,12
"2004","Bourses","Appenzell Innerrhoden","Maturité professionnelle (après l'apprentissage)",13600,4
"2004","Bourses","Appenzell Innerrhoden","Formation professionnelle supérieure",25850,3
"2004","Bourses","Appenzell Innerrhoden","Hautes écoles spécialisées et pédagogiques",99300,14
"2004","Bourses","Appenzell Innerrhoden","Hautes écoles universitaires",180650,32
"2004","Bourses","Appenzell Innerrhoden","Formation continue",0,0
"2004","Bourses","St. Gallen","Degrés de formation - total",7966300,1392
"2004","Bourses","St. Gallen","Scolarité obligatoire",84050,30
"2004","Bourses","St. Gallen","Maturité gymnasiale",1248350,274
"2004","Bourses","St. Gallen","Autres formations générales",273150,58
"2004","Bourses","St. Gallen","Formation professionnelle initiale (à plein temps)",1420700,251
"2004","Bourses","St. Gallen","Formation professionnelle initiale (duale)",799900,181
"2004","Bourses","St. Gallen","Maturité professionnelle (après l'apprentissage)",95700,31
"2004","Bourses","St. Gallen","Formation professionnelle supérieure",67500,9
"2004","Bourses","St. Gallen","Hautes écoles spécialisées et pédagogiques",1493450,206
"2004","Bourses","St. Gallen","Hautes écoles universitaires",2461500,376
"2004","Bourses","St. Gallen","Formation continue",22000,3
"2004","Bourses","Graubünden / Grigioni / Grischun","Degrés de formation - total",10872825,2679
"2004","Bourses","Graubünden / Grigioni / Grischun","Scolarité obligatoire",0,0
"2004","Bourses","Graubünden / Grigioni / Grischun","Maturité gymnasiale",1455050,461
"2004","Bourses","Graubünden / Grigioni / Grischun","Autres formations générales",1216850,437
"2004","Bourses","Graubünden / Grigioni / Grischun","Formation professionnelle initiale (à plein temps)",1108600,294
"2004","Bourses","Graubünden / Grigioni / Grischun","Formation professionnelle initiale (duale)",879600,366
"2004","Bourses","Graubünden / Grigioni / Grischun","Maturité professionnelle (après l'apprentissage)",217550,69
"2004","Bourses","Graubünden / Grigioni / Grischun","Formation professionnelle supérieure",612300,94
"2004","Bourses","Graubünden / Grigioni / Grischun","Hautes écoles spécialisées et pédagogiques",1939625,412
"2004","Bourses","Graubünden / Grigioni / Grischun","Hautes écoles universitaires",3391650,645
"2004","Bourses","Graubünden / Grigioni / Grischun","Formation continue",51600,10
"2004","Bourses","Aargau","Degrés de formation - total",12987719,2476
"2004","Bourses","Aargau","Scolarité obligatoire",0,0
"2004","Bourses","Aargau","Maturité gymnasiale",1199200,406
"2004","Bourses","Aargau","Autres formations générales",522750,197
"2004","Bourses","Aargau","Formation professionnelle initiale (à plein temps)",1900405,430
"2004","Bourses","Aargau","Formation professionnelle initiale (duale)",1424171,387
"2004","Bourses","Aargau","Maturité professionnelle (après l'apprentissage)",161550,21
"2004","Bourses","Aargau","Formation professionnelle supérieure",714875,90
"2004","Bourses","Aargau","Hautes écoles spécialisées et pédagogiques",2486655,337
"2004","Bourses","Aargau","Hautes écoles universitaires",4358413,576
"2004","Bourses","Aargau","Formation continue",219700,37
"2004","Bourses","Thurgau","Degrés de formation - total",8046550,1128
"2004","Bourses","Thurgau","Scolarité obligatoire",0,0
"2004","Bourses","Thurgau","Maturité gymnasiale",1131150,192
"2004","Bourses","Thurgau","Autres formations générales",364150,58
"2004","Bourses","Thurgau","Formation professionnelle initiale (à plein temps)",410950,63
"2004","Bourses","Thurgau","Formation professionnelle initiale (duale)",639400,126
"2004","Bourses","Thurgau","Maturité professionnelle (après l'apprentissage)",79250,14
"2004","Bourses","Thurgau","Formation professionnelle supérieure",478400,63
"2004","Bourses","Thurgau","Hautes écoles spécialisées et pédagogiques",2230950,290
"2004","Bourses","Thurgau","Hautes écoles universitaires",2712300,327
"2004","Bourses","Thurgau","Formation continue",0,0
"2004","Bourses","Ticino","Degrés de formation - total",19857046,3070
"2004","Bourses","Ticino","Scolarité obligatoire",205120,30
"2004","Bourses","Ticino","Maturité gymnasiale",752596,259
"2004","Bourses","Ticino","Autres formations générales",299011,106
"2004","Bourses","Ticino","Formation professionnelle initiale (à plein temps)",3536686,781
"2004","Bourses","Ticino","Formation professionnelle initiale (duale)",2085484,297
"2004","Bourses","Ticino","Maturité professionnelle (après l'apprentissage)",213066,56
"2004","Bourses","Ticino","Formation professionnelle supérieure",2233117,267
"2004","Bourses","Ticino","Hautes écoles spécialisées et pédagogiques",1914806,257
"2004","Bourses","Ticino","Hautes écoles universitaires",7136387,795
"2004","Bourses","Ticino","Formation continue",1480773,272
"2004","Bourses","Vaud","Degrés de formation - total",28827810,4964
"2004","Bourses","Vaud","Scolarité obligatoire",0,0
"2004","Bourses","Vaud","Maturité gymnasiale",2269220,740
"2004","Bourses","Vaud","Autres formations générales",1827570,528
"2004","Bourses","Vaud","Formation professionnelle initiale (à plein temps)",3260130,504
"2004","Bourses","Vaud","Formation professionnelle initiale (duale)",4743130,1176
"2004","Bourses","Vaud","Maturité professionnelle (après l'apprentissage)",66770,9
"2004","Bourses","Vaud","Formation professionnelle supérieure",3984240,412
"2004","Bourses","Vaud","Hautes écoles spécialisées et pédagogiques",4689870,529
"2004","Bourses","Vaud","Hautes écoles universitaires",7961060,1058
"2004","Bourses","Vaud","Formation continue",25820,8
"2004","Bourses","Valais / Wallis","Degrés de formation - total",11722180,3206
"2004","Bourses","Valais / Wallis","Scolarité obligatoire",0,0
"2004","Bourses","Valais / Wallis","Maturité gymnasiale",2333345,749
"2004","Bourses","Valais / Wallis","Autres formations générales",493935,191
"2004","Bourses","Valais / Wallis","Formation professionnelle initiale (à plein temps)",1124710,370
"2004","Bourses","Valais / Wallis","Formation professionnelle initiale (duale)",879275,322
"2004","Bourses","Valais / Wallis","Maturité professionnelle (après l'apprentissage)",77050,37
"2004","Bourses","Valais / Wallis","Formation professionnelle supérieure",751215,176
"2004","Bourses","Valais / Wallis","Hautes écoles spécialisées et pédagogiques",1646195,436
"2004","Bourses","Valais / Wallis","Hautes écoles universitaires",4362405,1020
"2004","Bourses","Valais / Wallis","Formation continue",54050,15
"2004","Bourses","Neuchâtel","Degrés de formation - total",5158491,1787
"2004","Bourses","Neuchâtel","Scolarité obligatoire",0,0
"2004","Bourses","Neuchâtel","Maturité gymnasiale",306600,237
"2004","Bourses","Neuchâtel","Autres formations générales",168350,155
"2004","Bourses","Neuchâtel","Formation professionnelle initiale (à plein temps)",723240,433
"2004","Bourses","Neuchâtel","Formation professionnelle initiale (duale)",510375,294
"2004","Bourses","Neuchâtel","Maturité professionnelle (après l'apprentissage)",24575,30
"2004","Bourses","Neuchâtel","Formation professionnelle supérieure",453525,130
"2004","Bourses","Neuchâtel","Hautes écoles spécialisées et pédagogiques",999726,224
"2004","Bourses","Neuchâtel","Hautes écoles universitaires",1926050,356
"2004","Bourses","Neuchâtel","Formation continue",46050,9
"2004","Bourses","Genève","Degrés de formation - total",24396716,3963
"2004","Bourses","Genève","Scolarité obligatoire",0,0
"2004","Bourses","Genève","Maturité gymnasiale",3431721,778
